Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
31-03-2023,EQ,1595.60,1612.95,1592.40,1587.80,1609.00,1609.55,1601.95,1722.10,1271.60,17355614.00,27802879066.75,213559.00
29-03-2023,EQ,1584.00,1602.00,1581.90,1580.20,1593.00,1587.80,1591.40,1722.10,1271.60,19881806.00,31639848468.25,208681.00
28-03-2023,EQ,1565.70,1582.90,1564.10,1567.45,1581.60,1580.20,1574.78,1722.10,1271.60,19638151.00,30925814365.90,195952.00
27-03-2023,EQ,1562.20,1579.45,1558.90,1560.65,1560.70,1567.45,1569.43,1722.10,1271.60,15936003.00,25010512320.00,171004.00
24-03-2023,EQ,1560.00,1573.90,1554.95,1563.15,1559.65,1560.65,1565.66,1722.10,1271.60,15738874.00,24641790955.35,171286.00
23-03-2023,EQ,1567.75,1590.35,1558.55,1575.80,1561.00,1563.15,1576.46,1722.10,1271.60,14182089.00,22357556930.90,171995.00
22-03-2023,EQ,1584.00,1586.05,1565.30,1579.45,1573.70,1575.80,1573.31,1722.10,1271.60,7088662.00,11152657442.95,139019.00
21-03-2023,EQ,1571.95,1582.50,1556.20,1561.75,1577.30,1579.45,1566.20,1722.10,1271.60,16525247.00,25881767757.50,166646.00
20-03-2023,EQ,1567.95,1568.10,1545.40,1572.65,1563.00,1561.75,1554.24,1722.10,1271.60,13251557.00,20596124335.40,194499.00
17-03-2023,EQ,1557.50,1579.20,1540.00,1551.90,1578.65,1572.65,1555.94,1722.10,1271.60,11475438.00,17855050758.60,177856.00
16-03-2023,EQ,1539.00,1559.10,1532.05,1541.90,1552.10,1551.90,1547.23,1722.10,1271.60,10876671.00,16828724100.65,225162.00
15-03-2023,EQ,1578.00,1582.90,1536.60,1564.35,1542.95,1541.90,1559.54,1722.10,1271.60,18632377.00,29058023463.95,209694.00
14-03-2023,EQ,1570.25,1583.60,1559.30,1568.55,1568.00,1564.35,1570.59,1722.10,1271.60,16592806.00,26060511633.95,193032.00
13-03-2023,EQ,1587.90,1603.80,1564.95,1588.65,1571.50,1568.55,1584.50,1722.10,1271.60,13221775.00,20949879575.00,164259.00
10-03-2023,EQ,1610.45,1613.75,1585.00,1630.70,1588.10,1588.65,1594.45,1722.10,1271.60,13693500.00,21833568464.50,216265.00
09-03-2023,EQ,1629.95,1645.95,1627.00,1630.55,1630.00,1630.70,1636.24,1722.10,1271.60,10350083.00,16935218497.40,138340.00
08-03-2023,EQ,1620.00,1639.50,1620.00,1627.30,1630.00,1630.55,1628.76,1722.10,1271.60,10049887.00,16368828094.50,169090.00
06-03-2023,EQ,1620.00,1639.45,1618.05,1615.90,1628.35,1627.30,1631.52,1722.10,1271.60,13502355.00,22029357861.45,170565.00
03-03-2023,EQ,1596.00,1620.00,1588.00,1584.45,1615.25,1615.90,1610.57,1722.10,1271.60,7493117.00,12068176740.30,147003.00
02-03-2023,EQ,1594.00,1605.95,1582.00,1598.05,1583.90,1584.45,1591.80,1722.10,1271.60,8695907.00,13842164334.75,145929.00
01-03-2023,EQ,1612.00,1613.00,1595.75,1599.60,1599.00,1598.05,1601.75,1722.10,1271.60,7068628.00,11322167673.75,170088.00
28-02-2023,EQ,1592.00,1605.30,1588.70,1592.90,1603.00,1599.60,1597.73,1722.10,1271.60,9496996.00,15173665803.80,128911.00
27-02-2023,EQ,1585.90,1599.00,1577.30,1588.95,1598.65,1592.90,1590.06,1722.10,1271.60,7156486.00,11379244627.25,143487.00
24-02-2023,EQ,1617.90,1617.90,1585.20,1603.25,1588.50,1588.95,1594.44,1722.10,1271.60,8530870.00,13601992894.90,179066.00
23-02-2023,EQ,1613.00,1618.85,1592.10,1614.20,1604.00,1603.25,1603.00,1722.10,1271.60,13941005.00,22347475793.50,227065.00
22-02-2023,EQ,1639.00,1641.95,1609.05,1646.50,1614.20,1614.20,1622.70,1722.10,1271.60,5179551.00,8404852589.05,139134.00
21-02-2023,EQ,1640.00,1662.35,1634.00,1640.35,1649.95,1646.50,1647.50,1722.10,1271.60,6194648.00,10205667202.40,167166.00
20-02-2023,EQ,1660.00,1669.45,1634.80,1655.90,1640.50,1640.35,1653.10,1722.10,1271.60,4043353.00,6684047187.45,161532.00
17-02-2023,EQ,1661.00,1668.15,1642.95,1664.25,1656.00,1655.90,1654.92,1722.10,1271.60,4478135.00,7410951450.25,116571.00
16-02-2023,EQ,1673.20,1681.90,1661.00,1670.30,1663.45,1664.25,1674.01,1722.10,1271.60,4031250.00,6748366478.80,112501.00
15-02-2023,EQ,1678.00,1678.00,1656.75,1673.70,1670.00,1670.30,1666.60,1722.10,1271.60,5719356.00,9531863377.00,131147.00
14-02-2023,EQ,1665.00,1677.50,1657.95,1658.35,1672.00,1673.70,1667.58,1722.10,1271.60,5454296.00,9095501854.70,188196.00
13-02-2023,EQ,1655.00,1661.75,1644.55,1657.10,1658.80,1658.35,1653.05,1722.10,1271.60,2868472.00,4741728896.75,128413.00
10-02-2023,EQ,1648.80,1658.50,1642.20,1650.55,1652.30,1657.10,1652.80,1722.10,1271.60,4086058.00,6753456557.50,112380.00
09-02-2023,EQ,1660.00,1661.65,1635.55,1654.00,1650.20,1650.55,1646.47,1722.10,1271.60,5888668.00,9695534662.35,156658.00
08-02-2023,EQ,1654.25,1668.20,1650.00,1654.20,1652.00,1654.00,1658.26,1722.10,1271.60,4222413.00,7001861740.25,122581.00
07-02-2023,EQ,1659.40,1664.90,1632.60,1651.75,1652.00,1654.20,1650.73,1722.10,1271.60,5132294.00,8472010812.25,154701.00
